Failed Row,Error Message
https://www.flashscore.com/basketball/europe/eurocup/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/europe/eurocup/' for key 'urls.urls'
https://www.flashscore.com/basketball/kazakhstan/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/kazakhstan/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-utrecht-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-utrecht-3' for key 'urls.urls'
https://www.flashscore.com/basketball/world/americup-3x3-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/americup-3x3-women/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-championship-u19-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-championship-u' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-cup-3x3-u18-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-cup-3x3-u18-wo' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-championship-u17/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-championship-u' for key 'urls.urls'
https://www.flashscore.com/basketball/argentina/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/argentina/' for key 'urls.urls'
https://www.flashscore.com/basketball/poland/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/poland/' for key 'urls.urls'
https://www.flashscore.com/basketball/australia-oceania/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/australia-oceania/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/commonwealth-games-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/commonwealth-games-w' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-debrecen-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-debrecen-' for key 'urls.urls'
https://www.flashscore.com/basketball/world/pan-american-games-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/pan-american-games-w' for key 'urls.urls'
https://www.flashscore.com/basketball/world/friendly-international/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/friendly-internation' for key 'urls.urls'
https://www.flashscore.com/basketball/brazil/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/brazil/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/olympic-games-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/olympic-games-women/' for key 'urls.urls'
https://www.flashscore.com/basketball/finland/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/finland/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-paris-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-paris-3x3' for key 'urls.urls'
https://www.flashscore.com/basketball/south-korea/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/south-korea/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-chengdu-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-chengdu-3' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-cup-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-cup-3x3/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/americup-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/americup-women/' for key 'urls.urls'
https://www.flashscore.com/basketball/turkey/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/turkey/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/champions-league-americas/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/champions-league-ame' for key 'urls.urls'
https://www.flashscore.com/basketball/italy/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/italy/' for key 'urls.urls'
https://www.flashscore.com/basketball/israel/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/israel/' for key 'urls.urls'
https://www.flashscore.com/basketball/hungary/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/hungary/' for key 'urls.urls'
https://www.flashscore.com/basketball/spain/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/spain/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-cup-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-cup-women/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-prague-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-prague-3x' for key 'urls.urls'
https://www.flashscore.com/basketball/south-america/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/south-america/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-final-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-final-3x3' for key 'urls.urls'
https://www.flashscore.com/basketball/thailand/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/thailand/' for key 'urls.urls'
https://www.flashscore.com/basketball/north-macedonia/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/north-macedonia/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/mediterranean-games-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/mediterranean-games-' for key 'urls.urls'
https://www.flashscore.com/basketball/world/stankovic-continental-cup/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/stankovic-continenta' for key 'urls.urls'
https://www.flashscore.com/basketball/world/friendly-international-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/friendly-internation' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-riyadh-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-riyadh-3x' for key 'urls.urls'
https://www.flashscore.com/basketball/ukraine/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/ukraine/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/americup-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/americup-3x3/' for key 'urls.urls'
